obs_id,obs_ts,lat,lon,geom_wkt,metric,category
OBS-00018,2024-08-10T10:54:32-07:00,29.126,-78.07944,POINT(-78.07944 29.126),12.0115,echo
OBS-00019,2024-09-13T11:11:09-07:00,35.58975,-97.07155,POINT(-97.07155 35.58975),25.1231,delta
OBS-00020,2024-01-21T09:59:00-05:00,26.19105,-95.36016,POINT(-95.36016 26.19105),32.6291,alpha
OBS-00021,2024-01-03T20:41:56+01:00,46.87048,-106.8577,POINT(-106.8577 46.87048),70.4966,delta
OBS-00022,2024-03-02T11:20:00-08:00,44.51596,-115.41134,POINT(-115.41134 44.51596),40.8909,charlie
OBS-00023,2024-02-04T07:17:50-06:00,46.60569,-88.5422,POINT(-88.5422 46.60569),64.0254,bravo
OBS-00024,2024-12-10T06:43:27-08:00,38.86455,-124.8062,POINT(-124.8062 38.86455),43.6705,delta
OBS-00025,2024-03-25T12:58:05-04:00,34.09057,-114.79428,POINT(-114.79428 34.09057),32.1772,bravo
OBS-00026,2024-10-10T01:34:55-05:00,40.24877,-108.79304,POINT(-108.79304 40.24877),48.9281,bravo
OBS-00027,2024-06-04T06:52:34-06:00,42.43777,-84.78236,POINT(-84.78236 42.43777),64.164,delta
OBS-00028,2024-07-17T16:42:28-06:00,41.22665,-112.83488,POINT(-112.83488 41.22665),69.9051,delta
OBS-00029,2024-06-27T07:05:52-06:00,37.30764,-123.54991,POINT(-123.54991 37.30764),11.6742,alpha
OBS-00030,2024-10-23T22:13:36-07:00,24.3486,-113.28867,POINT(-113.28867 24.3486),7.0856,alpha
OBS-00031,2024-05-22T22:20:35-05:00,30.72439,-86.48911,POINT(-86.48911 30.72439),92.9316,bravo
OBS-00032,2024-12-25T04:41:25+01:00,29.45218,-96.75814,POINT(-96.75814 29.45218),80.5968,echo
OBS-00033,2024-06-05T03:48:18-07:00,43.49692,-89.72815,POINT(-89.72815 43.49692),15.0136,alpha
OBS-00034,2024-03-24T20:08:07+00:00,42.3262,-118.36181,POINT(-118.36181 42.3262),21.6606,charlie
OBS-00035,2024-04-20T03:17:35+00:00,46.24618,-111.66202,POINT(-111.66202 46.24618),51.0054,alpha
OBS-00036,2024-05-11T07:59:13+01:00,33.38587,-98.79101,POINT(-98.79101 33.38587),1.8148,bravo
OBS-00037,2024-07-01T09:46:31-04:00,36.83348,-83.74127,POINT(-83.74127 36.83348),73.3335,alpha
OBS-00038,2024-02-20T17:30:38+01:00,36.34121,-111.56928,POINT(-111.56928 36.34121),68.5889,echo
OBS-00039,2024-04-19T07:48:38-08:00,26.9747,-96.73946,POINT(-96.73946 26.9747),9.5787,echo
OBS-00040,2024-07-17T06:00:31-07:00,48.71334,-73.31513,POINT(-73.31513 48.71334),60.3716,alpha
OBS-00041,2024-06-06T22:33:19-06:00,24.04644,-105.57513,POINT(-105.57513 24.04644),58.7904,delta
OBS-00042,2024-12-11T15:14:00-06:00,25.99575,-85.23197,POINT(-85.23197 25.99575),13.8727,bravo
OBS-00043,2024-09-26T07:43:28+01:00,31.1614,-76.78264,POINT(-76.78264 31.1614),35.3973,echo
OBS-00044,2024-12-16T20:53:19-05:00,36.69931,-86.97028,POINT(-86.97028 36.69931),89.9155,charlie
OBS-00045,2024-03-09T18:24:58-04:00,26.08584,-83.12103,POINT(-83.12103 26.08584),31.2892,echo
OBS-00046,2024-01-25T10:51:19-07:00,29.41974,-73.97411,POINT(-73.97411 29.41974),95.3096,alpha
OBS-00047,2024-01-04T13:27:12-05:00,26.1709,-96.53334,POINT(-96.53334 26.1709),73.7698,echo
OBS-00048,2024-11-04T05:57:46-05:00,30.12149,-77.73458,POINT(-77.73458 30.12149),26.1223,bravo
OBS-00049,2024-12-16T07:25:04-07:00,41.13162,-75.43571,POINT(-75.43571 41.13162),96.2034,alpha
OBS-00050,2024-07-22T09:08:49-06:00,44.61977,-69.41358,POINT(-69.41358 44.61977),50.8819,alpha
OBS-00051,2024-01-02T19:55:37-06:00,27.61132,-83.47998,POINT(-83.47998 27.61132),76.2189,alpha
OBS-00052,2024-07-15T05:34:42-06:00,28.52762,-106.25956,POINT(-106.25956 28.52762),84.9289,charlie
OBS-00053,2024-07-27T21:33:16+01:00,34.66554,-113.83746,POINT(-113.83746 34.66554),18.5734,delta
OBS-00054,2024-08-15T02:43:02-04:00,45.07738,-93.3874,POINT(-93.3874 45.07738),57.0019,alpha
OBS-00055,2024-11-26T02:52:50-08:00,48.51111,-72.64451,POINT(-72.64451 48.51111),86.9817,alpha
OBS-00056,2024-03-24T01:22:46+01:00,32.03398,-95.278,POINT(-95.278 32.03398),32.6007,delta
OBS-00057,2024-01-02T05:48:41+01:00,43.05078,-68.2724,POINT(-68.2724 43.05078),2.4199,charlie
OBS-00058,2024-05-06T14:22:00-08:00,25.98256,-108.15588,POINT(-108.15588 25.98256),86.217,alpha
OBS-00059,2024-07-07T05:10:42-04:00,26.95412,-122.94483,POINT(-122.94483 26.95412),86.4103,charlie
OBS-00060,2024-10-06T05:44:07+01:00,27.18479,-90.27884,POINT(-90.27884 27.18479),56.1838,delta
OBS-00061,2024-09-26T07:45:35-08:00,40.55297,-115.4734,POINT(-115.4734 40.55297),40.8068,bravo
OBS-00062,2024-05-12T03:04:17-04:00,27.3064,-95.67726,POINT(-95.67726 27.3064),10.1228,delta
OBS-00063,2024-11-19T20:33:02-08:00,38.11376,-104.8113,POINT(-104.8113 38.11376),15.1513,bravo
OBS-00064,2024-11-23T03:30:34-06:00,35.59931,-101.93187,POINT(-101.93187 35.59931),10.5156,alpha
OBS-00065,2024-07-23T00:05:21-05:00,31.58081,-92.90561,POINT(-92.90561 31.58081),42.0268,delta
OBS-00066,2024-01-14T04:22:29-06:00,43.70731,-116.69107,POINT(-116.69107 43.70731),73.1583,delta
OBS-00067,2024-03-09T00:05:52+00:00,41.89548,-74.72739,POINT(-74.72739 41.89548),1.6598,delta
OBS-00068,2024-08-05T13:21:35-06:00,42.57801,-73.51535,POINT(-73.51535 42.57801),91.2275,alpha
OBS-00069,2024-03-22T15:34:11-07:00,46.08402,-76.09182,POINT(-76.09182 46.08402),30.9897,delta
OBS-00070,2024-04-25T07:50:39+01:00,46.00424,-106.18403,POINT(-106.18403 46.00424),57.9166,charlie
OBS-00071,2024-12-21T18:38:39-05:00,28.99619,-116.67442,POINT(-116.67442 28.99619),33.4029,bravo
OBS-00072,2024-05-04T08:38:57-08:00,25.2911,-78.75144,POINT(-78.75144 25.2911),12.6446,charlie
OBS-00073,2024-10-25T22:21:44-06:00,45.05779,-112.07686,POINT(-112.07686 45.05779),69.3283,delta
OBS-00074,2024-03-09T23:17:35+01:00,35.70655,-88.93013,POINT(-88.93013 35.70655),17.5589,charlie
OBS-00075,2024-03-14T07:29:58-08:00,32.72708,-78.85522,POINT(-78.85522 32.72708),18.886,alpha
OBS-00076,2024-11-20T11:24:26+00:00,27.62176,-93.60983,POINT(-93.60983 27.62176),17.91,alpha
OBS-00077,2024-11-22T13:32:05-04:00,36.14672,-94.78331,POINT(-94.78331 36.14672),31.2283,delta
OBS-00078,2024-05-26T02:16:00-06:00,47.46334,-67.17382,POINT(-67.17382 47.46334),81.4045,echo
OBS-00079,2024-09-14T01:26:29-05:00,45.11169,-70.99767,POINT(-70.99767 45.11169),73.1362,delta
OBS-00080,2024-07-04T09:01:17-04:00,45.92221,-84.71907,POINT(-84.71907 45.92221),96.1486,delta
OBS-00081,2024-02-28T18:41:21-05:00,31.86495,-120.40311,POINT(-120.40311 31.86495),85.0615,echo
OBS-00082,2024-12-03T10:27:25+01:00,30.14583,-116.19624,POINT(-116.19624 30.14583),63.2821,delta
OBS-00083,2024-12-09T19:16:55-05:00,47.077,-88.08342,POINT(-88.08342 47.077),84.022,alpha
OBS-00084,2024-02-03T03:00:04-06:00,33.37169,-121.40704,POINT(-121.40704 33.37169),9.9454,delta
OBS-00085,2024-03-08T23:26:18-06:00,47.4594,-122.43044,POINT(-122.43044 47.4594),5.1306,charlie
OBS-00086,2024-06-20T08:39:54-08:00,42.6682,-78.28126,POINT(-78.28126 42.6682),96.9362,charlie
OBS-00087,2024-10-12T04:43:03-06:00,48.15953,-83.98943,POINT(-83.98943 48.15953),27.0605,alpha
OBS-00088,2024-02-27T17:26:57+00:00,38.47094,-78.48137,POINT(-78.48137 38.47094),10.5777,echo
OBS-00089,2024-08-05T06:06:33-05:00,38.55578,-87.70285,POINT(-87.70285 38.55578),54.3839,echo
OBS-00090,2024-09-12T06:39:38+00:00,43.92719,-74.41887,POINT(-74.41887 43.92719),26.6702,echo
OBS-00091,2024-04-13T05:21:24-07:00,26.63153,-77.81846,POINT(-77.81846 26.63153),25.8348,delta
OBS-00092,2024-08-01T10:26:54-08:00,35.44909,-67.19641,POINT(-67.19641 35.44909),69.5106,echo
OBS-00093,2024-10-27T22:54:06-06:00,39.62966,-115.59288,POINT(-115.59288 39.62966),61.7771,alpha
OBS-00094,2024-08-19T08:42:04-05:00,30.82911,-118.29936,POINT(-118.29936 30.82911),56.9167,alpha
OBS-00095,2024-02-08T17:47:06+01:00,42.85883,-100.37662,POINT(-100.37662 42.85883),61.9021,charlie
OBS-00096,2024-10-10T13:27:21-08:00,25.55213,-101.76901,POINT(-101.76901 25.55213),78.2941,alpha
OBS-00097,2024-12-04T01:14:59+00:00,24.91948,-78.73226,POINT(-78.73226 24.91948),89.0794,charlie
OBS-00098,2024-04-20T15:40:34-06:00,39.7628,-68.33506,POINT(-68.33506 39.7628),52.5622,bravo
OBS-00099,2024-12-19T11:03:08+01:00,42.4474,-74.63375,POINT(-74.63375 42.4474),59.7141,bravo
OBS-00100,2024-05-08T11:55:27-08:00,47.80564,-117.07528,POINT(-117.07528 47.80564),7.8163,echo
OBS-00101,2024-06-01T23:39:39-08:00,39.02296,-76.70997,POINT(-76.70997 39.02296),12.0576,charlie
OBS-00102,2024-03-23T09:26:29-04:00,32.32047,-113.8398,POINT(-113.8398 32.32047),5.0873,delta
OBS-00103,2024-12-23T15:25:13-06:00,46.28544,-110.96979,POINT(-110.96979 46.28544),80.0879,charlie
OBS-00104,2024-09-08T17:43:44-04:00,26.0363,-110.18303,POINT(-110.18303 26.0363),32.2948,bravo
OBS-00105,2024-06-07T09:27:23-04:00,39.40719,-73.2894,POINT(-73.2894 39.40719),82.5972,delta
OBS-00106,2024-01-18T04:54:13-07:00,27.01003,-75.26737,POINT(-75.26737 27.01003),86.5813,alpha
OBS-00107,2024-11-03T21:12:52-04:00,26.319,-74.31247,POINT(-74.31247 26.319),32.0854,bravo
OBS-00108,2024-05-01T21:08:09-06:00,45.31812,-115.04388,POINT(-115.04388 45.31812),33.2563,charlie
OBS-00109,2024-12-24T05:22:04+00:00,24.23816,-88.96164,POINT(-88.96164 24.23816),82.2091,bravo
OBS-00110,2024-05-19T01:12:38-07:00,44.91496,-107.37988,POINT(-107.37988 44.91496),58.4239,echo
OBS-00111,2024-12-15T20:11:48-04:00,35.5781,-78.12164,POINT(-78.12164 35.5781),91.4514,delta
OBS-00112,2024-05-05T12:56:24+01:00,29.88381,-100.68314,POINT(-100.68314 29.88381),52.0774,bravo
OBS-00113,2024-06-28T14:38:16-04:00,25.93944,-94.22216,POINT(-94.22216 25.93944),20.1607,alpha
OBS-00114,2024-02-14T01:29:15+01:00,38.30093,-114.9422,POINT(-114.9422 38.30093),9.6215,delta
OBS-00115,2024-09-02T23:01:30-07:00,41.62674,-116.65699,POINT(-116.65699 41.62674),47.1149,alpha
OBS-00116,2024-07-23T05:12:39-05:00,38.06545,-109.05478,POINT(-109.05478 38.06545),48.2755,bravo
OBS-00117,2024-02-17T14:11:22-04:00,46.4326,-77.75641,POINT(-77.75641 46.4326),2.4002,echo
OBS-00118,2024-11-05T15:36:00-07:00,36.21579,-91.61983,POINT(-91.61983 36.21579),61.1123,charlie
OBS-00119,2024-04-28T01:20:39+00:00,48.34325,-115.17558,POINT(-115.17558 48.34325),45.7927,alpha
OBS-00120,2024-12-16T22:32:21-08:00,48.41682,-80.68033,POINT(-80.68033 48.41682),15.0029,delta
OBS-00121,2024-06-17T16:03:31-08:00,29.55534,-99.06835,POINT(-99.06835 29.55534),6.9158,charlie
OBS-00122,2024-12-22T03:27:08-08:00,39.06399,-124.69871,POINT(-124.69871 39.06399),12.9513,charlie
OBS-00123,2024-04-27T08:13:53-05:00,34.39868,-68.31641,POINT(-68.31641 34.39868),83.6074,bravo
OBS-00124,2024-02-13T16:15:46+01:00,39.69218,-67.62106,POINT(-67.62106 39.69218),64.3462,charlie
OBS-00125,2024-03-07T10:59:15-08:00,24.80789,-109.25459,POINT(-109.25459 24.80789),95.4381,delta
OBS-00126,2024-10-24T12:44:50-05:00,30.71068,-124.32248,POINT(-124.32248 30.71068),64.6123,alpha
OBS-00127,2024-05-20T04:07:06-07:00,42.20427,-112.62132,POINT(-112.62132 42.20427),28.0285,alpha
OBS-00128,2024-07-14T04:08:04+00:00,41.24264,-86.36676,POINT(-86.36676 41.24264),36.2067,alpha
OBS-00129,2024-04-11T05:57:32-08:00,36.74834,-72.63404,POINT(-72.63404 36.74834),48.2872,echo
OBS-00130,2024-09-16T01:00:07-04:00,47.98094,-112.79086,POINT(-112.79086 47.98094),1.6554,alpha
OBS-00131,2024-11-15T23:40:16-08:00,24.77546,-122.99586,POINT(-122.99586 24.77546),88.5233,echo
OBS-00132,2024-11-23T04:15:48+01:00,40.16116,-86.29859,POINT(-86.29859 40.16116),70.8694,echo
OBS-00133,2024-04-11T03:19:24-05:00,40.98396,-72.09134,POINT(-72.09134 40.98396),48.9148,charlie
OBS-00134,2024-12-21T13:00:31+00:00,26.37044,-85.65212,POINT(-85.65212 26.37044),24.2277,bravo
OBS-00135,2024-03-12T16:50:53-05:00,27.81468,-70.94828,POINT(-70.94828 27.81468),85.6755,echo
OBS-00136,2024-06-08T06:14:12-07:00,46.38294,-117.98401,POINT(-117.98401 46.38294),2.7123,delta
OBS-00137,2024-04-01T17:06:12-08:00,27.54121,-114.39421,POINT(-114.39421 27.54121),54.775,delta
OBS-00138,2024-10-22T13:45:29-04:00,32.63014,-105.77565,POINT(-105.77565 32.63014),15.3671,delta
OBS-00139,2024-02-02T18:23:13-05:00,31.26761,-98.06043,POINT(-98.06043 31.26761),61.9594,echo
OBS-00140,2024-01-05T00:39:09-06:00,44.44944,-90.56215,POINT(-90.56215 44.44944),59.1556,alpha
OBS-00141,2024-03-09T03:30:47-04:00,44.50655,-123.9196,POINT(-123.9196 44.50655),52.3513,delta
OBS-00142,2024-02-10T17:55:36+00:00,36.5573,-118.30491,POINT(-118.30491 36.5573),65.0036,echo
OBS-00143,2024-04-26T05:55:24+01:00,48.18028,-77.99799,POINT(-77.99799 48.18028),19.3851,echo
OBS-00144,2024-04-22T02:58:49-04:00,45.96318,-67.33593,POINT(-67.33593 45.96318),45.9803,alpha
OBS-00145,2024-07-14T12:24:10+01:00,40.87343,-95.52372,POINT(-95.52372 40.87343),54.9638,charlie
OBS-00146,2024-08-08T11:38:17-05:00,31.09642,-110.77612,POINT(-110.77612 31.09642),13.1355,charlie
OBS-00147,2024-06-08T08:10:26-04:00,31.3562,-114.27548,POINT(-114.27548 31.3562),52.7538,bravo
OBS-00148,2024-05-27T18:21:44-08:00,26.14153,-102.85852,POINT(-102.85852 26.14153),88.3692,echo
OBS-00149,2024-01-15T01:04:10-05:00,28.70271,-83.04041,POINT(-83.04041 28.70271),54.857,delta
OBS-00150,2024-11-17T14:28:24+00:00,30.98433,-83.76557,POINT(-83.76557 30.98433),60.6352,bravo
OBS-00151,2024-10-16T11:20:56+00:00,36.33831,-113.93783,POINT(-113.93783 36.33831),35.5247,bravo
OBS-00152,2024-02-12T19:34:53-08:00,40.70329,-123.7165,POINT(-123.7165 40.70329),13.4826,bravo
OBS-00153,2024-05-09T09:26:27+01:00,26.59487,-123.04644,POINT(-123.04644 26.59487),2.2115,echo
OBS-00154,2024-08-10T00:27:22+00:00,41.1459,-71.62645,POINT(-71.62645 41.1459),94.1832,bravo
OBS-00155,2024-02-08T11:08:31+01:00,48.44296,-124.8815,POINT(-124.8815 48.44296),41.9083,alpha
OBS-00156,2024-08-09T06:45:09-05:00,29.97368,-85.65436,POINT(-85.65436 29.97368),88.7179,alpha
OBS-00157,2024-08-26T12:55:17-04:00,48.34162,-82.56983,POINT(-82.56983 48.34162),95.7551,alpha
OBS-00158,2024-04-20T10:51:20+01:00,26.736,-99.81451,POINT(-99.81451 26.736),72.1567,echo
OBS-00159,2024-06-22T17:05:18+01:00,39.25411,-92.84889,POINT(-92.84889 39.25411),19.4387,echo
OBS-00160,2024-03-08T00:10:53-04:00,34.71573,-99.5122,POINT(-99.5122 34.71573),95.3755,alpha
OBS-00161,2024-07-11T11:23:19-06:00,31.41334,-69.6638,POINT(-69.6638 31.41334),82.9145,alpha
OBS-00162,2024-03-19T19:23:55+01:00,40.68236,-110.7454,POINT(-110.7454 40.68236),51.9633,charlie
OBS-00163,2024-09-24T22:45:15-04:00,46.14167,-74.82873,POINT(-74.82873 46.14167),12.5353,alpha
OBS-00164,2024-11-04T11:39:49+01:00,34.84162,-104.49151,POINT(-104.49151 34.84162),54.4607,charlie
OBS-00165,2024-08-12T13:08:52-04:00,33.91906,-76.48094,POINT(-76.48094 33.91906),81.7807,delta
OBS-00166,2024-11-04T00:57:01+01:00,44.33894,-99.60088,POINT(-99.60088 44.33894),43.1365,echo
OBS-00167,2024-06-14T18:18:01+01:00,47.88318,-79.11979,POINT(-79.11979 47.88318),94.0949,charlie
OBS-00168,2024-03-19T16:21:53-06:00,43.01513,-101.01802,POINT(-101.01802 43.01513),17.4588,delta
OBS-00169,2024-10-13T23:14:05+00:00,28.71313,-79.01995,POINT(-79.01995 28.71313),50.7973,charlie
OBS-00170,2024-02-04T10:30:44-05:00,39.53513,-87.25096,POINT(-87.25096 39.53513),79.3819,charlie
OBS-00171,2024-04-10T16:56:25-05:00,40.86263,-104.77112,POINT(-104.77112 40.86263),66.7925,bravo
OBS-00172,2024-07-11T08:24:14+00:00,29.1379,-124.02187,POINT(-124.02187 29.1379),91.2589,bravo
OBS-00173,2024-05-28T17:54:38-05:00,25.97402,-109.65683,POINT(-109.65683 25.97402),32.021,bravo
OBS-00174,2024-04-16T05:32:30-04:00,25.09839,-76.07224,POINT(-76.07224 25.09839),88.0243,charlie
OBS-00175,2024-02-13T00:11:47+00:00,36.03674,-103.01226,POINT(-103.01226 36.03674),54.2123,alpha
OBS-00176,2024-04-02T02:28:05-07:00,28.14234,-91.28676,POINT(-91.28676 28.14234),97.3494,charlie
OBS-00177,2024-03-22T02:58:07+00:00,33.25926,-70.24441,POINT(-70.24441 33.25926),3.7617,delta
OBS-00178,2024-04-21T03:32:39-08:00,33.32504,-92.62737,POINT(-92.62737 33.32504),64.9119,alpha
OBS-00179,2024-04-01T08:46:39-07:00,34.1198,-79.81285,POINT(-79.81285 34.1198),70.7405,delta
OBS-00180,2024-04-23T16:43:36-06:00,30.45588,-73.36855,POINT(-73.36855 30.45588),6.8932,echo
OBS-00181,2024-08-04T15:13:55+00:00,42.9861,-114.38672,POINT(-114.38672 42.9861),72.0395,bravo
OBS-00182,2024-07-22T20:04:35+00:00,28.68625,-102.61398,POINT(-102.61398 28.68625),73.978,delta
OBS-00183,2024-07-20T18:38:49+01:00,36.24713,-71.81922,POINT(-71.81922 36.24713),76.0699,delta
OBS-00184,2024-11-04T13:59:40+00:00,30.70022,-108.08558,POINT(-108.08558 30.70022),26.2555,delta
OBS-00185,2024-05-19T20:07:06-05:00,42.55306,-98.60388,POINT(-98.60388 42.55306),53.0273,alpha
OBS-00186,2024-12-05T06:51:21-08:00,31.12985,-96.87986,POINT(-96.87986 31.12985),39.4796,echo
OBS-00187,2024-03-14T09:57:02+00:00,41.14211,-104.42107,POINT(-104.42107 41.14211),3.3914,delta
OBS-00188,2024-12-12T05:40:47+00:00,25.39166,-76.18514,POINT(-76.18514 25.39166),36.052,charlie
OBS-00189,2024-04-14T21:26:09-05:00,48.84124,-76.59436,POINT(-76.59436 48.84124),7.9763,echo
OBS-00190,2024-11-03T18:32:02-06:00,33.52771,-121.47533,POINT(-121.47533 33.52771),9.6206,alpha
OBS-00191,2024-02-10T17:53:21-07:00,46.27283,-80.81424,POINT(-80.81424 46.27283),74.4642,charlie
OBS-00192,2024-10-09T20:01:37-08:00,39.55932,-96.57872,POINT(-96.57872 39.55932),96.0818,echo
OBS-00193,2024-06-07T14:52:07-05:00,38.34114,-120.28613,POINT(-120.28613 38.34114),2.9384,bravo
OBS-00194,2024-12-19T21:04:45-05:00,43.14734,-124.92959,POINT(-124.92959 43.14734),25.0804,echo
OBS-00195,2024-09-02T21:48:25-07:00,30.11797,-68.92734,POINT(-68.92734 30.11797),23.7263,delta
OBS-00196,2024-08-27T15:15:35-05:00,39.52137,-90.26896,POINT(-90.26896 39.52137),77.9027,alpha
OBS-00197,2024-04-15T19:36:48+01:00,44.14486,-115.07136,POINT(-115.07136 44.14486),12.7638,alpha
OBS-00198,2024-08-28T14:09:59-05:00,32.13959,-97.83847,POINT(-97.83847 32.13959),29.2399,echo
OBS-00199,2024-03-22T14:04:59-05:00,40.96743,-105.31772,POINT(-105.31772 40.96743),10.2297,bravo
OBS-00200,2024-01-15T10:28:14-04:00,48.91982,-70.83452,POINT(-70.83452 48.91982),1.1118,alpha
OBS-00201,2024-10-07T23:02:42+01:00,33.40096,-109.84632,POINT(-109.84632 33.40096),77.4316,bravo
OBS-00202,2024-10-07T20:47:49+00:00,29.35504,-94.31872,POINT(-94.31872 29.35504),87.6273,charlie
OBS-00203,2024-04-17T01:05:45-06:00,35.88914,-124.34756,POINT(-124.34756 35.88914),72.5144,delta
OBS-00204,2024-01-16T02:33:33-06:00,33.80418,-96.79946,POINT(-96.79946 33.80418),81.3771,charlie
OBS-00205,2024-08-14T09:40:51-06:00,30.12109,-70.98285,POINT(-70.98285 30.12109),29.8585,bravo
OBS-00206,2024-06-23T03:10:26-07:00,43.32376,-102.47065,POINT(-102.47065 43.32376),80.1358,charlie
OBS-00207,2024-04-23T00:59:41-04:00,32.46538,-93.15368,POINT(-93.15368 32.46538),58.3312,alpha
OBS-00208,2024-01-19T05:50:47-08:00,46.16035,-96.73143,POINT(-96.73143 46.16035),26.9852,bravo
OBS-00209,2024-08-06T01:55:25-07:00,43.45506,-86.04016,POINT(-86.04016 43.45506),20.4091,alpha
OBS-00210,2024-04-05T16:23:51-05:00,30.67314,-107.36803,POINT(-107.36803 30.67314),86.5699,echo
OBS-00211,2024-09-23T03:17:06-08:00,24.34792,-104.04238,POINT(-104.04238 24.34792),35.4045,bravo
OBS-00212,2024-06-04T14:41:22-08:00,48.18379,-98.01625,POINT(-98.01625 48.18379),70.7039,delta
OBS-00213,2024-09-17T21:09:09-04:00,34.83459,-76.37488,POINT(-76.37488 34.83459),3.3059,charlie
OBS-00214,2024-11-17T09:56:34-05:00,36.64725,-84.37555,POINT(-84.37555 36.64725),0.3281,echo
OBS-00215,2024-04-19T02:59:48-07:00,32.06494,-76.52807,POINT(-76.52807 32.06494),19.4091,bravo
OBS-00216,2024-11-27T19:25:35-04:00,36.17267,-106.40744,POINT(-106.40744 36.17267),66.8174,alpha
OBS-00217,2024-12-06T02:03:14-04:00,44.86492,-103.5883,POINT(-103.5883 44.86492),58.1046,delta
OBS-00218,2024-07-23T07:21:30+00:00,42.09329,-123.39148,POINT(-123.39148 42.09329),5.8927,delta
OBS-00219,2024-10-25T06:42:13+00:00,44.00353,-72.23501,POINT(-72.23501 44.00353),84.5215,echo
OBS-00220,2024-08-20T10:36:42-04:00,34.41349,-70.07605,POINT(-70.07605 34.41349),24.926,charlie
OBS-00221,2024-05-08T17:09:54-07:00,47.47867,-121.93098,POINT(-121.93098 47.47867),49.7115,charlie
OBS-00222,2024-01-01T09:02:54-07:00,34.25621,-93.59871,POINT(-93.59871 34.25621),12.2795,bravo
OBS-00223,2024-12-06T06:24:10-08:00,34.62676,-107.01314,POINT(-107.01314 34.62676),47.6505,echo
OBS-00224,2024-05-16T20:50:17-08:00,37.49705,-68.25555,POINT(-68.25555 37.49705),45.9359,alpha
OBS-00225,2024-06-16T15:48:41-07:00,24.00982,-80.35201,POINT(-80.35201 24.00982),46.2571,charlie
OBS-00226,2024-04-13T10:21:51-04:00,33.96493,-112.92839,POINT(-112.92839 33.96493),46.1771,bravo
OBS-00227,2024-04-21T05:39:58-04:00,45.45464,-122.37287,POINT(-122.37287 45.45464),97.5127,alpha
OBS-00228,2024-04-18T19:41:03-04:00,43.91082,-120.09272,POINT(-120.09272 43.91082),93.2568,charlie
OBS-00229,2024-06-23T18:21:39+00:00,44.6417,-71.81929,POINT(-71.81929 44.6417),77.9496,alpha
OBS-00230,2024-08-12T07:29:03-04:00,30.02525,-91.7596,POINT(-91.7596 30.02525),40.1832,alpha
OBS-00231,2024-11-13T05:10:11-08:00,37.09128,-84.8062,POINT(-84.8062 37.09128),77.8198,delta
OBS-00232,2024-03-19T14:08:18-07:00,31.13831,-83.13413,POINT(-83.13413 31.13831),66.8014,bravo
OBS-00233,2024-12-24T07:30:17+00:00,36.66715,-80.13926,POINT(-80.13926 36.66715),83.4067,echo
OBS-00234,2024-07-03T19:26:22-04:00,28.30746,-103.98698,POINT(-103.98698 28.30746),27.5709,charlie
OBS-00235,2024-03-15T19:33:47-06:00,36.33249,-115.52424,POINT(-115.52424 36.33249),50.7531,delta
OBS-00236,2024-04-04T07:39:15-05:00,34.28312,-102.75015,POINT(-102.75015 34.28312),77.0927,echo
OBS-00237,2024-10-25T03:45:22-04:00,24.25562,-107.30907,POINT(-107.30907 24.25562),16.8375,bravo
OBS-00238,2024-05-27T13:55:12-04:00,36.50519,-80.78003,POINT(-80.78003 36.50519),75.1169,delta
