id,lat,lon,category,value_a,value_b
221,47.13258,-76.11792,cat_19,386.9429,66.9922
222,41.40902,-100.71877,cat_13,815.0879,76.8689
223,26.69743,-73.7576,cat_09,553.1967,70.1749
224,45.95558,-81.75303,cat_13,632.1942,64.0926
225,32.01397,-117.68966,cat_03,30.3536,45.0452
226,42.47247,-120.00898,cat_18,293.723,54.4804
227,37.20844,-108.70327,cat_06,692.209,59.3034
228,33.19809,-119.50777,cat_00,497.2399,56.3511
229,45.17252,-75.67959,cat_00,344.7996,34.6331
230,40.57856,-105.71179,cat_18,970.1996,28.9643
231,30.45719,-76.58421,cat_05,565.9192,65.6681
232,30.31617,-107.47075,cat_05,626.3826,54.0451
233,26.81547,-95.78782,cat_09,166.7942,67.7069
234,29.50967,-69.12009,cat_17,475.7794,44.5082
235,35.52554,-70.87435,cat_07,291.7496,53.2267
236,41.1233,-117.79029,cat_10,769.9497,62.9596
237,46.02364,-92.29576,cat_01,97.9863,57.0094
238,35.23595,-90.61914,cat_10,707.7501,40.0103
239,37.36618,-104.45125,cat_08,312.0129,21.1416
240,29.73337,-116.61649,cat_02,798.0888,30.7625
241,26.87029,-82.22118,cat_11,553.7647,39.1665
242,39.67303,-86.55016,cat_11,611.8524,71.587
243,47.28303,-109.22169,cat_07,47.8722,46.0124
244,34.77384,-77.08876,cat_19,630.6563,31.8419
245,25.21942,-118.60571,cat_17,377.2239,43.6807
246,48.02011,-93.32808,cat_16,949.1442,55.2888
247,37.45615,-116.48546,cat_07,764.373,35.9878
248,29.04319,-84.52775,cat_07,876.3196,44.4417
249,46.05698,-86.14913,cat_04,487.1095,42.2348
250,32.94934,-108.3951,cat_19,956.3794,57.067
251,47.68433,-68.86512,cat_09,277.6073,59.6007
252,42.83904,-70.48193,cat_01,691.6415,49.7395
253,33.4319,-70.95982,cat_14,226.9912,32.0951
254,41.03849,-70.21307,cat_14,559.88,75.5759
255,31.83602,-124.22774,cat_07,32.313,18.341
256,47.50864,-69.89497,cat_02,668.0241,63.761
257,42.13327,-108.94272,cat_10,788.8858,43.4852
258,28.77133,-123.92415,cat_03,838.5485,50.6553
259,37.78759,-70.49565,cat_08,630.8274,49.5173
260,42.28599,-108.85732,cat_01,804.5227,64.0934
261,33.13927,-89.2288,cat_15,556.3188,60.6514
262,39.66394,-118.93021,cat_13,838.5258,30.3956
263,35.33824,-120.58317,cat_12,545.4128,59.4155
264,40.55843,-79.58212,cat_17,674.1091,79.1354
265,25.92448,-71.70748,cat_13,899.9416,54.1291
266,39.84994,-108.84461,cat_09,86.6466,26.691
267,43.1333,-112.50616,cat_15,823.0066,47.5932
268,48.12624,-68.45388,cat_06,442.1283,65.0298
269,32.42789,-118.03752,cat_07,270.4799,57.1227
270,42.05815,-120.84366,cat_15,344.0483,66.6897
271,46.67829,-70.07273,cat_16,699.4056,53.8419
272,35.20017,-115.90852,cat_14,367.8804,55.6225
273,35.81968,-84.30377,cat_18,987.3477,62.8601
274,30.02451,-92.29985,cat_04,77.4596,60.185
275,41.34128,-110.40969,cat_07,102.775,45.0085
276,28.85359,-67.15186,cat_15,970.9554,26.5672
277,48.76281,-121.90979,cat_04,989.0138,65.7208
278,48.24518,-105.39023,cat_19,806.3711,42.419
279,26.45073,-96.17399,cat_16,758.0131,33.6327
280,39.57169,-110.0217,cat_13,343.6991,53.037
281,42.64049,-95.98362,cat_11,120.4701,27.47
282,26.79814,-104.70924,cat_18,711.3615,53.0766
283,33.00441,-123.09504,cat_16,183.3164,79.1709
284,30.31352,-96.98514,cat_14,765.7756,62.5993
285,46.33796,-98.65517,cat_11,557.9781,70.3592
286,46.33968,-79.84385,cat_07,717.1261,42.1359
287,35.67544,-106.36682,cat_18,124.907,57.9962
288,43.48411,-68.58916,cat_06,860.714,49.1324
289,43.81207,-69.86257,cat_00,517.141,69.8447
290,41.41978,-73.90001,cat_13,201.9614,56.2055
291,26.04463,-99.11166,cat_03,400.5156,60.3235
292,46.32878,-106.86998,cat_05,761.4438,41.2921
293,32.38487,-77.69199,cat_09,541.5678,43.8753
294,38.46978,-89.50571,cat_08,3.3926,64.3947
295,45.65547,-68.14525,cat_04,644.2986,36.5302
296,32.4206,-86.025,cat_17,569.8017,49.5151
297,47.60384,-103.65889,cat_16,37.4985,60.2713
298,37.48112,-80.78179,cat_17,28.2282,50.4299
299,27.31557,-116.2038,cat_10,822.5993,26.1287
300,28.67971,-118.58248,cat_00,145.0278,35.5681
301,30.62306,-85.34128,cat_09,594.4659,40.6495
302,37.84508,-81.22425,cat_19,443.0797,37.4376
303,30.26503,-106.88648,cat_00,481.4144,55.641
304,35.64542,-101.20452,cat_18,450.7244,51.7561
305,42.55522,-97.39935,cat_03,365.2408,35.1601
306,33.5424,-88.01802,cat_04,230.9782,43.01
307,47.73478,-68.44844,cat_05,704.2532,45.7645
308,26.54847,-77.32165,cat_15,864.3405,47.172
309,40.14486,-116.56779,cat_10,150.5993,64.3697
310,37.89556,-108.69253,cat_14,147.4091,61.0542
311,40.92189,-71.681,cat_03,787.859,15.2712
312,38.11314,-74.34543,cat_18,392.7165,29.0965
313,25.76223,-83.86302,cat_07,112.2033,35.3373
314,45.73771,-114.81185,cat_06,132.1052,53.1459
315,43.01521,-110.90883,cat_13,623.5636,41.0093
316,43.15273,-96.12061,cat_09,270.6905,56.2439
317,24.2474,-120.02395,cat_04,307.4195,59.8354
318,39.37371,-115.62113,cat_02,417.998,12.4069
319,46.23096,-84.93082,cat_00,59.4017,67.2454
320,44.53804,-80.03225,cat_17,312.5643,65.4444
321,37.68207,-96.26626,cat_16,239.7014,46.9882
322,28.29549,-112.32211,cat_10,115.0249,43.4706
323,36.91676,-110.88034,cat_06,472.0653,61.4004
324,27.96337,-90.21719,cat_03,914.0796,74.6782
325,38.88779,-83.88775,cat_05,547.4116,43.4378
326,46.71499,-90.99332,cat_02,46.3841,64.8266
327,40.63306,-122.00621,cat_12,539.7959,4.0689
328,27.82413,-75.83056,cat_19,122.2401,28.1412
329,39.73895,-76.69489,cat_01,455.6017,47.3374
330,27.21907,-118.34414,cat_06,41.5587,40.8283
331,44.39093,-105.51433,cat_16,829.6817,80.978
332,39.87744,-94.92084,cat_03,581.4029,63.4087
333,45.36936,-77.4663,cat_08,540.0799,52.5635
334,46.12904,-89.71985,cat_18,907.1424,55.1501
335,35.00168,-96.36522,cat_13,683.8539,67.7813
336,24.40338,-124.60564,cat_03,169.4395,69.0776
337,33.12331,-96.40168,cat_00,120.4179,59.0216
338,27.39484,-103.68734,cat_04,697.4875,36.4496
339,30.29578,-69.4066,cat_09,654.8643,61.9857
340,25.31146,-90.91402,cat_19,375.2959,48.8186
341,38.52475,-76.47321,cat_01,71.5468,73.2017
342,45.26408,-120.02415,cat_08,334.5989,71.4801
343,29.92771,-105.96582,cat_17,484.2553,87.6347
344,27.467,-112.78688,cat_10,290.9833,80.0851
345,36.62949,-112.30196,cat_13,929.355,47.1951
346,31.10916,-99.78112,cat_11,938.6326,46.9979
347,30.52569,-114.01328,cat_19,57.5985,32.2328
348,37.93685,-92.09297,cat_13,651.2476,67.783
349,28.42205,-88.75492,cat_13,509.5223,41.4361
350,46.14799,-124.9883,cat_14,814.3803,38.8757
351,45.30161,-100.72843,cat_06,109.3798,45.3412
352,44.45237,-92.27961,cat_18,246.7067,45.6099
353,38.74916,-121.47432,cat_04,159.5117,33.9948
354,39.26551,-117.74334,cat_08,225.3038,39.736
355,31.29139,-118.90092,cat_16,228.2163,59.822
356,24.35516,-81.7587,cat_15,258.1409,48.3034
357,28.40975,-89.19163,cat_15,697.5504,64.567
358,44.44098,-109.34821,cat_01,241.2541,63.6753
359,39.02515,-124.63456,cat_07,434.2741,44.7869
360,45.91534,-116.16818,cat_01,886.978,48.2715
361,42.7607,-96.84345,cat_08,301.155,29.1517
362,36.00372,-91.95208,cat_11,84.0127,53.2614
363,33.25725,-108.13182,cat_01,658.4624,64.3028
364,24.03615,-77.45376,cat_02,294.5896,60.1029
365,45.16862,-86.71487,cat_07,324.4767,48.0801
366,30.86613,-114.20324,cat_12,567.213,66.0736
367,32.22468,-105.93708,cat_11,428.6718,56.1774
368,36.18463,-105.84053,cat_15,935.5285,36.9654
369,45.36972,-84.01202,cat_05,683.1509,43.1017
370,39.63101,-116.23905,cat_02,344.6346,37.0186
371,29.88043,-118.502,cat_14,304.9719,46.7011
372,47.32159,-74.21658,cat_08,244.9273,43.9962
373,42.4228,-111.74384,cat_14,433.6934,87.5384
374,35.68445,-99.86657,cat_16,231.2815,42.4317
375,25.82492,-112.71771,cat_13,161.2463,42.8613
376,40.99488,-98.03443,cat_09,643.0239,41.084
377,46.09247,-90.56393,cat_16,538.866,34.4064
378,25.05254,-77.67969,cat_06,74.1713,50.8362
379,48.91336,-121.34657,cat_14,382.5486,39.5435
380,32.59776,-105.71026,cat_14,301.2486,30.0102
381,45.81997,-100.94885,cat_07,333.0199,32.8304
382,34.77256,-116.81688,cat_06,797.4737,48.3813
383,39.53042,-104.81833,cat_06,683.4559,52.0649
384,43.28801,-70.26858,cat_15,246.8576,75.5702
385,40.4787,-79.8171,cat_01,756.9652,13.5698
386,30.72767,-114.13353,cat_02,281.122,87.8128
387,42.40169,-121.46356,cat_08,412.5421,49.6308
388,40.76634,-93.66842,cat_10,928.8368,36.0915
389,43.43061,-86.3826,cat_04,569.8523,46.5052
390,32.71618,-92.19061,cat_09,477.1307,44.7166
391,40.03777,-81.02873,cat_15,306.3262,73.9484
392,27.05875,-91.86114,cat_07,615.6549,28.1238
393,24.71106,-83.44986,cat_09,334.0774,40.5842
394,48.81941,-83.34676,cat_04,601.8384,52.5437
395,26.36475,-74.85436,cat_09,325.2837,75.6508
396,41.09266,-103.59838,cat_03,608.9525,67.2493
397,46.78768,-78.34559,cat_09,599.4639,45.2494
398,46.24007,-92.8288,cat_19,626.105,40.6441
399,31.8959,-94.88793,cat_02,610.4446,35.1867
400,31.29007,-78.70901,cat_08,577.8318,33.8516
401,30.16027,-77.59728,cat_19,602.0841,48.9454
402,28.49804,-75.43561,cat_19,332.5022,43.4186
403,31.91403,-119.905,cat_13,216.4581,36.1135
404,45.20682,-110.17522,cat_08,615.1893,56.2911
405,31.44668,-104.54718,cat_15,475.8043,46.7166
406,41.64873,-91.23383,cat_16,627.8641,58.9027
407,29.01972,-97.74636,cat_03,643.6672,87.2009
408,47.68094,-88.965,cat_02,706.3339,58.4233
409,41.24477,-82.5833,cat_03,440.1853,14.1373
410,28.31176,-111.25883,cat_04,481.4757,67.3465
411,43.21229,-109.1664,cat_02,469.9978,58.3157
412,27.07615,-95.03532,cat_03,896.3213,46.8655
413,28.12968,-100.95298,cat_00,805.4323,40.7696
414,34.66566,-95.17482,cat_05,510.364,43.2417
415,24.32309,-112.15677,cat_04,29.045,35.808
416,46.09234,-115.25246,cat_05,204.5135,40.0223
417,34.25639,-121.54035,cat_15,192.4416,76.181
418,45.68274,-104.60258,cat_16,567.957,43.3762
419,31.59024,-87.0301,cat_13,984.5375,45.7844
420,41.31433,-69.50588,cat_06,474.5616,34.7457
421,27.15338,-116.38469,cat_18,517.3981,44.4434
422,35.52485,-70.02673,cat_03,314.3349,36.2313
423,40.94784,-105.92017,cat_17,92.307,52.005
424,24.62671,-103.46003,cat_01,690.136,27.9113
425,39.8792,-68.73782,cat_09,770.8591,52.6409
426,46.24879,-107.99833,cat_17,154.6113,41.3813
427,43.18915,-78.43086,cat_05,142.1707,54.6611
428,47.53969,-88.84965,cat_06,297.0361,84.8024
429,27.09335,-97.50115,cat_16,870.3324,24.6929
430,44.89051,-102.40234,cat_07,266.9544,42.5774
431,26.99983,-83.91555,cat_00,522.701,42.8263
432,48.0181,-71.95867,cat_10,987.8982,34.2036
433,42.65469,-106.05876,cat_10,366.263,71.1789
434,36.01714,-108.98546,cat_16,534.8088,15.4241
435,30.01412,-91.78028,cat_09,712.2265,52.7253
436,41.09771,-71.94939,cat_16,700.0367,66.5166
437,37.79659,-116.77743,cat_07,48.4403,47.8255
438,35.79074,-115.10606,cat_13,833.1119,44.9664
439,47.67924,-102.64026,cat_12,205.2242,86.0868
440,25.77791,-124.70784,cat_14,634.6956,58.0881
441,32.07815,-122.75833,cat_09,349.3379,39.8844
442,46.63382,-69.93143,cat_03,611.0026,48.0798
443,27.41338,-84.58093,cat_02,735.7224,43.6422
444,46.34995,-116.52526,cat_05,19.0936,71.9468
445,34.04537,-122.31405,cat_14,288.731,75.7694
446,48.78977,-78.14616,cat_11,790.6057,30.0627
447,35.27383,-90.1988,cat_01,631.409,74.2319
448,37.97808,-93.52125,cat_17,723.4766,30.91
449,35.03273,-102.47633,cat_07,839.9071,34.3836
450,37.57979,-98.87864,cat_02,856.2128,42.1414
451,30.3684,-98.47683,cat_04,965.3948,53.4566
452,25.18167,-92.83246,cat_00,503.6729,38.6437
453,44.2743,-71.20485,cat_13,369.373,47.9543
454,47.08638,-103.62714,cat_13,883.5428,43.0505
455,37.61143,-99.2855,cat_01,154.7079,45.8801
456,34.38845,-114.50692,cat_01,38.8526,53.9184
457,44.9579,-106.08863,cat_09,249.9707,45.6306
458,46.21785,-105.74007,cat_04,227.2656,51.0573
459,31.93354,-81.73561,cat_09,224.1177,49.2524
460,24.83412,-100.78688,cat_00,603.0937,43.114
461,25.56098,-69.74002,cat_10,366.9189,26.9859
462,47.72124,-99.82973,cat_10,288.5493,67.4269
463,37.48536,-91.10386,cat_14,732.5362,65.7341
464,25.20926,-117.5037,cat_01,373.5662,48.3358
465,32.67716,-116.32309,cat_15,107.4918,26.6578
466,39.70052,-120.15907,cat_00,116.1871,67.7019
467,45.13262,-105.23207,cat_16,912.9279,48.6507
468,45.56751,-110.25182,cat_08,148.1091,64.3932
469,34.94745,-85.8416,cat_12,259.6268,38.0496
470,48.07637,-113.30208,cat_00,798.6329,46.3081
471,41.65213,-81.0022,cat_04,469.8731,42.0624
472,40.4807,-123.547,cat_12,450.6773,83.3193
473,25.70005,-82.17843,cat_11,530.8468,54.6684
474,48.67209,-78.68419,cat_01,172.4605,43.3654
475,26.77923,-99.48652,cat_12,85.6505,48.8364
476,47.50538,-79.89892,cat_03,498.8897,72.1981
477,37.32115,-94.28188,cat_16,527.8528,40.4665
478,35.81111,-110.47343,cat_01,106.3736,31.2304
479,34.52366,-102.83599,cat_16,888.9041,66.1255
480,32.86337,-117.72328,cat_19,182.2755,55.4064
481,25.08191,-114.24933,cat_14,277.4718,54.9257
482,33.93223,-104.66455,cat_13,265.5131,52.3323
483,27.91498,-96.72544,cat_17,18.7576,62.1341
484,25.97247,-81.61677,cat_09,226.4658,6.8151
485,29.61349,-70.62265,cat_10,706.5885,45.3619
486,28.91243,-83.91059,cat_14,45.1416,58.0772
487,26.41374,-111.59533,cat_11,633.8101,65.563
488,47.04422,-69.44616,cat_14,150.3788,42.6543
489,44.24617,-116.1277,cat_05,224.3515,73.8152
490,30.03517,-76.56923,cat_04,355.2899,47.3271
491,46.25012,-104.71845,cat_06,744.0973,22.9769
492,24.44015,-110.73887,cat_15,853.4626,61.6228
493,24.86956,-85.19751,cat_04,281.4541,54.9929
494,45.54979,-113.97391,cat_06,878.8061,61.2661
495,36.01034,-74.83798,cat_12,780.394,61.3391
496,30.71185,-100.96853,cat_16,283.6095,81.8696
497,48.35105,-69.41244,cat_09,538.9819,49.1676
498,30.76505,-106.80911,cat_07,924.426,27.1719
499,24.32492,-91.65394,cat_01,248.7035,56.2421
500,27.28262,-81.06277,cat_11,282.882,47.2911
501,28.00855,-110.62971,cat_12,958.1762,46.0663
502,36.08642,-85.35233,cat_06,55.515,43.4946
